elec_id;district_id;parliament_id;election_date;election_type;election_mode;parliament_id_of_electing_parliament;election_hierarchy;election_round;district_votes_total
CH_NT-NR_1947__Aargau__26oct1947;CH_NT-NR_1947__Aargau;CH_NT-NR_1947;26oct1947;regular;popular;;main-election;1;827041
CH_NT-NR_1947__Appenzell-A-RH__26oct1947;CH_NT-NR_1947__Appenzell-A-RH;CH_NT-NR_1947;26oct1947;regular;popular;;main-election;1;NA
CH_NT-NR_1947__Appenzell-I-RH__26oct1947;CH_NT-NR_1947__Appenzell-I-RH;CH_NT-NR_1947;26oct1947;regular;popular;;main-election;1;1404
CH_NT-NR_1947__Basel-Landschaft__26oct1947;CH_NT-NR_1947__Basel-Landschaft;CH_NT-NR_1947;26oct1947;regular;popular;;main-election;1;82659
CH_NT-NR_1947__Basel-Stadt__26oct1947;CH_NT-NR_1947__Basel-Stadt;CH_NT-NR_1947;26oct1947;regular;popular;;main-election;1;306258
CH_NT-NR_1947__Bern__26oct1947;CH_NT-NR_1947__Bern;CH_NT-NR_1947;26oct1947;regular;popular;;main-election;1;4500669
CH_NT-NR_1947__Fribourg__26oct1947;CH_NT-NR_1947__Fribourg;CH_NT-NR_1947;26oct1947;regular;popular;;main-election;1;205960
CH_NT-NR_1947__Geneve__26oct1947;CH_NT-NR_1947__Geneve;CH_NT-NR_1947;26oct1947;regular;popular;;main-election;1;201776
CH_NT-NR_1947__Glarus__26oct1947;CH_NT-NR_1947__Glarus;CH_NT-NR_1947;26oct1947;regular;popular;;main-election;1;16436
CH_NT-NR_1947__Graubuenden__26oct1947;CH_NT-NR_1947__Graubuenden;CH_NT-NR_1947;26oct1947;regular;popular;;main-election;1;161112
CH_NT-NR_1947__Luzern__26oct1947;CH_NT-NR_1947__Luzern;CH_NT-NR_1947;26oct1947;regular;popular;;main-election;1;367268
CH_NT-NR_1947__Neuchatel__26oct1947;CH_NT-NR_1947__Neuchatal;CH_NT-NR_1947;26oct1947;regular;popular;;main-election;1;94863
CH_NT-NR_1947__Nidwalden__26oct1947;CH_NT-NR_1947__Nidwalden;CH_NT-NR_1947;26oct1947;regular;popular;;main-election;1;3394
CH_NT-NR_1947__Obwalden__26oct1947;CH_NT-NR_1947__Obwalden;CH_NT-NR_1947;26oct1947;regular;popular;;main-election;1;1988
CH_NT-NR_1947__Schaffhausen__26oct1947;CH_NT-NR_1947__Schaffhausen;CH_NT-NR_1947;26oct1947;regular;popular;;main-election;1;29031
CH_NT-NR_1947__Schwyz__26oct1947;CH_NT-NR_1947__Schwyz;CH_NT-NR_1947;26oct1947;regular;popular;;main-election;1;37127
CH_NT-NR_1947__Solothurn__26oct1947;CH_NT-NR_1947__Solothurn;CH_NT-NR_1947;26oct1947;regular;popular;;main-election;1;292989
CH_NT-NR_1947__St-Gallen__26oct1947;CH_NT-NR_1947__St-Gallen;CH_NT-NR_1947;26oct1947;regular;popular;;main-election;1;785843
CH_NT-NR_1947__Thurgau__26oct1947;CH_NT-NR_1947__Thurgau;CH_NT-NR_1947;26oct1947;regular;popular;;main-election;1;193883
CH_NT-NR_1947__Ticino__26oct1947;CH_NT-NR_1947__Ticino;CH_NT-NR_1947;26oct1947;regular;popular;;main-election;1;213566
CH_NT-NR_1947__Uri__26oct1947;CH_NT-NR_1947__Uri;CH_NT-NR_1947;26oct1947;regular;popular;;main-election;1;3792
CH_NT-NR_1947__Valais__26oct1947;CH_NT-NR_1947__Valais;CH_NT-NR_1947;26oct1947;regular;popular;;main-election;1;189254
CH_NT-NR_1947__Vaud__26oct1947;CH_NT-NR_1947__Vaud;CH_NT-NR_1947;26oct1947;regular;popular;;main-election;1;1138733
CH_NT-NR_1947__Zuerich__26oct1947;CH_NT-NR_1947__Zuerich;CH_NT-NR_1947;26oct1947;regular;popular;;main-election;1;5156918
CH_NT-NR_1947__Zug__26oct1947;CH_NT-NR_1947__Zug;CH_NT-NR_1947;26oct1947;regular;popular;;main-election;1;16394
CH_NT-NR_1951__Aargau__28oct1951;CH_NT-NR_1951__Aargau;CH_NT-NR_1951;28oct1951;regular;popular;;main-election;1;918983
CH_NT-NR_1951__Appenzell-A-RH__28oct1951;CH_NT-NR_1951__Appenzell-A-RH;CH_NT-NR_1951;28oct1951;regular;popular;;main-election;1;16990
CH_NT-NR_1951__Appenzell-I-RH__28oct1951;CH_NT-NR_1951__Appenzell-I-RH;CH_NT-NR_1951;28oct1951;regular;popular;;main-election;1;1167
CH_NT-NR_1951__Basel-Landschaft__28oct1951;CH_NT-NR_1951__Basel-Landschaft;CH_NT-NR_1951;28oct1951;regular;popular;;main-election;1;95740
CH_NT-NR_1951__Basel-Stadt__28oct1951;CH_NT-NR_1951__Basel-Stadt;CH_NT-NR_1951;28oct1951;regular;popular;;main-election;1;329229
