list_id;list_name;parliament_id;district_id;elec_id;list_level;list_number;party_id;list_length;list_votes_total_[source];list_type;list_name_check;list_id_check
CH_NT-NR_1947__Zuerich__26oct1947__Baeuerlich-gewerblich-buergerliche-Liste;Baeuerlich-gewerblich-buergerliche-Liste;CH_NT-NR_1947;CH_NT-NR_1947__Zuerich;CH_NT-NR_1947__Zuerich__26oct1947;CH_ZH;1;CH_CVP|PDC_RE-ZH;26;;;TRUE;TRUE
CH_NT-NR_1947__Zuerich__26oct1947__Christlichsoziale-Liste;Christlichsoziale-Liste;CH_NT-NR_1947;CH_NT-NR_1947__Zuerich;CH_NT-NR_1947__Zuerich__26oct1947;CH_ZH;2;CH_CVP|PDC_RE-SG;31;;;TRUE;TRUE
CH_NT-NR_1947__Zuerich__26oct1947__Liste-der-Partei-der-Arbeit;Liste-der-Partei-der-Arbeit;CH_NT-NR_1947;CH_NT-NR_1947__Zuerich;CH_NT-NR_1947__Zuerich__26oct1947;CH_ZH;3;CH_PdA_RE-ZH;31;;;TRUE;TRUE
CH_NT-NR_1947__Zuerich__26oct1947__Sozialdemokratisch-Gewerkschaftliche-Liste;Sozialdemokratisch-Gewerkschaftliche-Liste;CH_NT-NR_1947;CH_NT-NR_1947__Zuerich;CH_NT-NR_1947__Zuerich__26oct1947;CH_ZH;4;CH_SP|PS_RE-ZH;25;;;TRUE;TRUE
CH_NT-NR_1947__Zuerich__26oct1947__Freisinnige-Liste;Freisinnige-Liste;CH_NT-NR_1947;CH_NT-NR_1947__Zuerich;CH_NT-NR_1947__Zuerich__26oct1947;CH_ZH;5;CH_FDP|PRD_RE-ZH;31;;;TRUE;TRUE
CH_NT-NR_1947__Zuerich__26oct1947__Demokratische-Liste;Demokratische-Liste;CH_NT-NR_1947;CH_NT-NR_1947__Zuerich;CH_NT-NR_1947__Zuerich__26oct1947;CH_ZH;6;CH_DP_RE-ZH;31;;;TRUE;TRUE
CH_NT-NR_1947__Zuerich__26oct1947__Liste-der-Evangelischen-Volkspartei;Liste-der-Evangelischen-Volkspartei;CH_NT-NR_1947;CH_NT-NR_1947__Zuerich;CH_NT-NR_1947__Zuerich__26oct1947;CH_ZH;7;CH_EVP|PEP_RE-ZH;30;;;TRUE;TRUE
CH_NT-NR_1947__Zuerich__26oct1947__Landesring-der-Unabhaengigen;Landesring-der-Unabhaengigen;CH_NT-NR_1947;CH_NT-NR_1947__Zuerich;CH_NT-NR_1947__Zuerich__26oct1947;CH_ZH;8;CH_LdU|ADI_RE-ZH;31;;;TRUE;TRUE
CH_NT-NR_1947__Zuerich__26oct1947__Liste-der-Liberalsozialistischen-Partei-Freiwirtschafter;Liste-der-Liberalsozialistischen-Partei-Freiwirtschafter;CH_NT-NR_1947;CH_NT-NR_1947__Zuerich;CH_NT-NR_1947__Zuerich__26oct1947;CH_ZH;9;CH_LSP_RE-ZH;22;;;TRUE;TRUE
CH_NT-NR_1947__Bern__26oct1947__Partei-der-Arbeit-des-Kantons-Bern;Partei-der-Arbeit-des-Kantons-Bern;CH_NT-NR_1947;CH_NT-NR_1947__Bern;CH_NT-NR_1947__Bern__26oct1947;CH_BE;1;;15;;;TRUE;TRUE
