faction_episode_id;faction_id;faction_name ;faction_party_ids;parliament_id;seats;faction_start;faction_end
NL_NT-TK_1946__NL_KVP_NT;NL_NT-TK_1946__NL_KVP_NT;KVP;NL_KVP_NT;NL_NT-TK_1946;32;05jun1946;27jul1948
NL_NT-TK_1946__NL_PvdA_NT;NL_NT-TK_1946__NL_PvdA_NT;PVDA;NL_PvdA_NT;NL_NT-TK_1946;29;05jun1946;27jul1948
NL_NT-TK_1946__NL_ARP_NT;NL_NT-TK_1946__NL_ARP_NT;ARP;NL_ARP_NT;NL_NT-TK_1946;13;05jun1946;27jul1948
NL_NT-TK_1946__NL_CPN_NT;NL_NT-TK_1946__NL_CPN_NT;CPN;NL_CPN_NT;NL_NT-TK_1946;10;05jun1946;27jul1948
NL_NT-TK_1946__NL_CHU_NT;NL_NT-TK_1946__NL_CHU_NT;CHU;NL_CHU_NT;NL_NT-TK_1946;8;05jun1946;27jul1948
NL_NT-TK_1946__NL_PvdV_NT;NL_NT-TK_1946__NL_PvdV_NT;PVDV;NL_PvdV_NT;NL_NT-TK_1946;6;05jun1946;27jul1948
NL_NT-TK_1946__NL_SGP_NT;NL_NT-TK_1946__NL_SGP_NT;SGP;NL_SGP_NT;NL_NT-TK_1946;2;05jun1946;27jul1948
NL_NT-TK_1948__NL_KVP_NT;NL_NT-TK_1948__NL_KVP_NT;KVP;NL_KVP_NT;NL_NT-TK_1948;32;28jul1948;15jul1952
NL_NT-TK_1948__NL_PvdA_NT;NL_NT-TK_1948__NL_PvdA_NT;PVDA;NL_PvdA_NT;NL_NT-TK_1948;27;28jul1948;15jul1952
NL_NT-TK_1948__NL_ARP_NT;NL_NT-TK_1948__NL_ARP_NT;ARP;NL_ARP_NT;NL_NT-TK_1948;13;28jul1948;15jul1952
NL_NT-TK_1948__NL_CPN_NT;NL_NT-TK_1948__NL_CPN_NT;CPN;NL_CPN_NT;NL_NT-TK_1948;8;28jul1948;15jul1952
NL_NT-TK_1948__NL_CHU_NT;NL_NT-TK_1948__NL_CHU_NT;CHU;NL_CHU_NT;NL_NT-TK_1948;9;28jul1948;15jul1952
NL_NT-TK_1948__NL_SGP_NT;NL_NT-TK_1948__NL_SGP_NT;SGP;NL_SGP_NT;NL_NT-TK_1948;2;28jul1948;15jul1952
