memep_id;pers_id;party_id;memep_startdate;memep_enddate;memep_type_raw
CH_Abate_Fabio_1966__CH_FDP|PRD_RE-TI__1;CH_Abate_Fabio_1966;CH_FDP|PRD_RE-TI;25sep2000;30nov2003;regular
CH_Abate_Fabio_1966__CH_FDP|PRD_RE-TI__2;CH_Abate_Fabio_1966;CH_FDP|PRD_RE-TI;01dec2003;02dec2007;regular
CH_Abate_Fabio_1966__CH_FDP|PRD_RE-TI__3;CH_Abate_Fabio_1966;CH_FDP|PRD_RE-TI;03dec2007;21nov2008;regular
CH_Abate_Fabio_1966__CH_FDP|PRD_RE-TI__4;CH_Abate_Fabio_1966;CH_FDP|PRD_RE-TI;22nov2008;31dec2008;regular
CH_Abate_Fabio_1966__CH_FDPLib_RE-TI__1;CH_Abate_Fabio_1966;CH_FDPLib_RE-TI;01jan2009;04dec2011;regular
CH_Abate_Fabio_1966__CH_FDPLib_RE-TI__2;CH_Abate_Fabio_1966;CH_FDPLib_RE-TI;05dec2011;29nov2015;regular
CH_Abate_Fabio_1966__CH_FDPLib_RE-TI__3;CH_Abate_Fabio_1966;CH_FDPLib_RE-TI;30nov2015;12mar2018;regular
CH_Abate_Fabio_1966__CH_FDPLib_RE-TI__4;CH_Abate_Fabio_1966;CH_FDPLib_RE-TI;23oct2011;NA;regular
CH_Abate_Fabio_1966__CH_FDPLib_RE-TI__5;CH_Abate_Fabio_1966;CH_FDPLib_RE-TI;18oct2015;NA;regular
CH_Abegg_Alfred_1914__CH_SP|PS_RE-TG__1;CH_Abegg_Alfred_1914;CH_SP|PS_RE-TG;02dec1963;03dec1967;regular
CH_Abegg_Alfred_1914__CH_SP|PS_RE-TG__2;CH_Abegg_Alfred_1914;CH_SP|PS_RE-TG;04dec1967;28nov1971;regular
CH_Ackermann_Alfred_1907__CH_FDP|PRD_RE-LU__1;CH_Ackermann_Alfred_1907;CH_FDP|PRD_RE-LU;14sep1953;04dec1955;regular
CH_Ackermann_Alfred_1907__CH_FDP|PRD_RE-LU__2;CH_Ackermann_Alfred_1907;CH_FDP|PRD_RE-LU;05dec1955;06dec1959;regular
CH_Ackermann_Alfred_1907__CH_FDP|PRD_RE-LU__3;CH_Ackermann_Alfred_1907;CH_FDP|PRD_RE-LU;07dec1959;01dec1963;regular
CH_Ackermann_Alfred_1907__CH_FDP|PRD_RE-LU__4;CH_Ackermann_Alfred_1907;CH_FDP|PRD_RE-LU;02dec1963;03dec1967;regular
CH_Ackermann_Alfred_1907__CH_FDP|PRD_RE-LU__5;CH_Ackermann_Alfred_1907;CH_FDP|PRD_RE-LU;04dec1967;01jun1970;regular
CH_Ackermann_Joseph_1901__CH_CVP|PDC_RE-FR__1;CH_Ackermann_Joseph_1901;CH_CVP|PDC_RE-FR;01dec1947;02dec1951;regular
