min_episode_id;pers_id;parliament_id
NL_Schermerhorn_Willem_1894__NL_NT-TK_1945__cab;NL_Schermerhorn_Willem_1894;NL_NT-TK_1945
NL_vanKleffens_Eelco_1894__NL_NT-TK_1945__cab;NL_vanKleffens_Eelco_1894;NL_NT-TK_1945
NL_vanRoijen_Herman_1905__NL_NT-TK_1945__cab;NL_vanRoijen_Herman_1905;NL_NT-TK_1945
NL_Kolfschoten_Hans_1903__NL_NT-TK_1945__cab;NL_Kolfschoten_Hans_1903;NL_NT-TK_1945
NL_Beel_Louis_1902__NL_NT-TK_1945__cab;NL_Beel_Louis_1902;NL_NT-TK_1945
NL_vanderLeeuw_Gerard_1890__NL_NT-TK_1945__cab;NL_vanderLeeuw_Gerard_1890;NL_NT-TK_1945
NL_Lieftinck_Piet_1902__NL_NT-TK_1945__cab;NL_Lieftinck_Piet_1902;NL_NT-TK_1945
NL_Meynen_Jo_1901__NL_NT-TK_1945__cab;NL_Meynen_Jo_1901;NL_NT-TK_1945
NL_deBooy_Jim_1885__NL_NT-TK_1945__cab;NL_deBooy_Jim_1885;NL_NT-TK_1945
NL_Ringers_Johan_1885__NL_NT-TK_1945__cab;NL_Ringers_Johan_1885;NL_NT-TK_1945
NL_vanSchaik_Steef_1888__NL_NT-TK_1945__cab;NL_vanSchaik_Steef_1888;NL_NT-TK_1945
NL_Vos_Hein_1903__NL_NT-TK_1945__cab;NL_Vos_Hein_1903;NL_NT-TK_1945
NL_Mansholt_Sicco_1908__NL_NT-TK_1945__cab;NL_Mansholt_Sicco_1908;NL_NT-TK_1945
NL_Drees_Willem_1886__NL_NT-TK_1945__cab;NL_Drees_Willem_1886;NL_NT-TK_1945
NL_Logemann_Johann_1892__NL_NT-TK_1945__cab;NL_Logemann_Johann_1892;NL_NT-TK_1945
NL_Beel_Louis_1902__NL_NT-TK_1946__cab;NL_Beel_Louis_1902;NL_NT-TK_1946
NL_vanBoetzelaer_Pim_1892__NL_NT-TK_1946__cab;NL_vanBoetzelaer_Pim_1892;NL_NT-TK_1946
NL_vanMaarseveen_Johannes_1894__NL_NT-TK_1946__cab;NL_vanMaarseveen_Johannes_1894;NL_NT-TK_1946
NL_Witteman_Piet_1892__NL_NT-TK_1946__cab;NL_Witteman_Piet_1892;NL_NT-TK_1946
NL_Gielen_Jos_1898__NL_NT-TK_1946__cab;NL_Gielen_Jos_1898;NL_NT-TK_1946
NL_Lieftinck_Piet_1902__NL_NT-TK_1946__cab;NL_Lieftinck_Piet_1902;NL_NT-TK_1946
NL_Fievez_Alexander_1902__NL_NT-TK_1946__cab;NL_Fievez_Alexander_1902;NL_NT-TK_1946
NL_Schagen_Jules_1896__NL_NT-TK_1946__cab;NL_Schagen_Jules_1896;NL_NT-TK_1946
