org_id;org_name;legal_form;polactive_start_date;polactive_end_date;seat_location;zipcode;region_abb;country_abb;longitude;latitude;ig_type;policy_area;address_raw;GAVA_assoc_id;GAVA_assoc_name;GAVA_assoc_aggregate_name;GAVA_assoc_legal_form;GAVA_assoc_general;GAVA_assoc_ig_type;GAVA_assoc_ig_type_name;GAVA_assoc_ig_code;GAVA_assoc_ig_code_name;GAVA_level;GAVA_category;GAVA_topic;GAVA_topic_business;NCCR_nqid;NCCR_A4 Organisation;GK_interest_group;GK_canton_ig_raw;GK_type;GK_policy_code
CH_H8KkcewN6fGv;Associazione Festival internazionale del Film di Locarno, Locarno;Ve.;2002;2017;Locarno;6600;TI;CH;8,833300803;46,16973154;NOT_IN_CLEA-20220908;NOT_IN_CLEA-20220908;NOT_IN_CLEA-20220908;534;Associazione Festival internazionale del Film di Locarno;Associazione Festival internazionale del Film di Locarno;30;Association;60;Hobby/leisure groups;63;Arts;1;Local;6;98;NA;NA;Associazione Festival internazionale del Film di Locarno ;TI;culture;28
CH_BKqlbxA4JVcd;Associazione pro Juventute Svizzera italiana, Giubiasco;Ve.;2012;2015;Giubiasco;6512;TI;CH;9,001057646;46,17260187;NOT_IN_CLEA-20220908;NOT_IN_CLEA-20220908;NOT_IN_CLEA-20220908;4006;Pro Juventute;Pro Juventute;20;Fondation;80;Public interest groups;83;Humanitarian - national;3;National;2;NA;NA;NA;Pro Juventute;BE;ngo;13
CH_tGMRc24nJvf8;Associazione svizzera linea ferroviaria di alta capacità Milano-Lugano;Ve.;2005;2007;Lugano;6900;TI;CH;8,976010841;46,00785538;NOT_IN_CLEA-20220908;NOT_IN_CLEA-20220908;NOT_IN_CLEA-20220908;539;Associazione svizzera linea ferroviaria di alta capacita Milano- Lugano;Associazione svizzera linea ferroviaria di alta capacita Milano- Lugano;30;Association;80;Public interest groups;89;Local development;2;Regional/Cantonal;10;98;NA;NA;Associazione svizzera linea ferroviaria di alta capacità Milano-Lugano ;TI;prof;10
CH_0AH50MMgiWn8;Banca Raiffeisen Locarno, Locarno;Gen.;2011;2017;Locarno;6600;TI;CH;8,833300803;46,16973154;NOT_IN_CLEA-20220908;NOT_IN_CLEA-20220908;NOT_IN_CLEA-20220908;653;Banca Raiffeisen Locarno;Raiffeisen;13;Societe;20;Business groups;26;Private firm/company;98;NA;15;1501;NA;NA;NA;NA;NA;NA
CH_HtsFU5Dx4JBG;Commissione intercomunale dei trasporti locarnesi e Vallemaggia;Komm.;2005;2017;Locarno;6600;TI;CH;8,833300803;46,16973154;NOT_IN_CLEA-20220908;NOT_IN_CLEA-20220908;NOT_IN_CLEA-20220908;1181;Commissione intercomunale dei trasporti locarnesi e Vallemaggia;Commissione intercomunale dei trasporti locarnesi e Vallemaggia;40;Commission;30;Institutional associations;34;Other institutional associations, incl. State and Federal agencies;2;Regional/Cantonal;10;98;NA;NA;Commissione intercomunale dei trasporti locarnesi e Vallemaggia ;TI;public;10
CH_+oov8/1LISjU;Forum della Piazza;Ve.;2005;2008;Locarno;6600;TI;CH;8,833300803;46,16973154;21;NOT_IN_CLEA-20220908;NOT_IN_CLEA-20220908;2106;FORUM DELLA PIAZZA;FORUM DELLA PIAZZA;30;Association;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FORUM DELLA PIAZZA ;TI;NA;NA
CH_TPcd4klOHvvV;Gruppo Multi SA, Muralto;AG;2007;2017;Muralto;6600;TI;CH;8,833300803;46,16973154;NOT_IN_CLEA-20220908;NOT_IN_CLEA-20220908;NOT_IN_CLEA-20220908;2459;Gruppo Multi SA Muralto;Gruppo Multi SA Muralto;11;Societe;20;Business groups;26;Private firm/company;98;NA;15;1500;NA;NA;Gruppo Multi SA, Muralto ;TI;comp;14
CH_J8TgxWdXpnOc;Impresa Barella SA, Chiasso;AG;2003;2017;Chiasso;6830;TI;CH;9,016543501;45,82882802;NOT_IN_CLEA-20220908;NOT_IN_CLEA-20220908;NOT_IN_CLEA-20220908;2799;Impresa Barella SA Chiasso;Impresa Barella SA Chiasso;11;Societe;20;Business groups;26;Private firm/company;98;NA;15;1564;NA;NA;Impresa Barella SA, Chiasso ;TI;comp;14
CH_xAp9MiCm/U46;Pizzarotti (Suisse) SA, Lugano;AG;2002;2010;Lugano;6900;TI;CH;8,976010841;46,00785538;NOT_IN_CLEA-20220908;NOT_IN_CLEA-20220908;NOT_IN_CLEA-20220908;3920;Pizzarotti (Suisse) SA Lugano;Pizzarotti (Suisse) SA Lugano;11;Societe;20;Business groups;26;Private firm/company;98;NA;15;1564;NA;NA;Pizzarotti SA, Lugano;NA;comp;1
CH_m9CqG62nPLda;Prosegur SA, Lugano;AG;2001;2007;Lugano;6900;TI;CH;8,976010841;46,00785538;NOT_IN_CLEA-20220908;NOT_IN_CLEA-20220908;NOT_IN_CLEA-20220908;4075;Prosegur SA Lugano;Prosegur SA Lugano;11;Societe;20;Business groups;26;Private firm/company;98;NA;16;NA;NA;NA;Prosegur SA, Lugano;TI;comp;12
