party_id;party_level;region_abb;ancestor_party_id;mother_party_id;party_abb;party_name;party_parlgov_id;clea_party_id;RGB;part_fam;old_party_name;old_party_abb;episode_start;episode_end;part_wikidata_item
NL_50plus_NT;NT;;;;50plus;"50PLUS;50PLUS";2109;;rgb(146,39,143);lib;;;15nov2011;31dec2018[[rcen]];
NL_AOV_NT;NT;;;;AOV;"General Senior Union;Algemeen Ouderen Verbond";112;;rgb(26,83,155);;;;01dec1993;oct2001;
NL_ABRKK_NT;NT;;;;ABRKK;"General League of Roman Catholic Caucuses;Algemeene Bond van Roomsch-Katholieke Kiesverenigingen";2539;;rgb(243,183,0);;;;15oct1904;02may1926;
NL_ARP_NT;NT;;;;ARP;"Anti-Revolutionary Party;Anti-Revolutionaire Partij";300;;rgb(2,1,125);;;;03apr1879;10oct1980;
NL_BP_NT;NT;;;;BP;"Farmers Party;Boerenpartij";1595;;rgb(185,102,83);;;;1958;1981;
NL_BVL_NT;NT;;;;BVL;"League of Free Liberals;Bond van Vrije Liberalen";2459;;rgb(11,10,6);;;;23jun1906;15apr1921;
NL_CD_NT;NT;;;;CD;"Centre Democrats;Centrum Democraten";209;;rgb(247,0,2);;;;07nov1984;18apr2002;
NL_CP_NT;NT;;;;CP;"Centre Party;Centrumpartij";275;;rgb(73,34,128);;;;11mar1980;13may1986;
NL_CP86_NT;NT;;;;CP86;"Centre Party '86;Centrumpartij '86";275;;rgb(73,34,128);;;;20may1986;18nov1998;
NL_CDU_NT;NT;;;;CDU;"Christian Democratic Union;Christelijk-Democratische Unie";2542;;rgb(240,184,79);;;;11dec1926;07feb1946;
NL_CHU_NT;NT;;;;CHU;"Christian Historical Union;Christelijk-Historische Unie";405;;rgb(243,183,0);;;;09jul1908;10oct1980;
NL_CDA_NT;NT;;"NL_ARP_NT;NL_CHU_NT;NL_KVP_NT";;CDA;"Christian Democratic Appeal;Christen Democratisch Appel";235;;rgb(0,120,92);chr;;;11oct1980;31dec2018[[rcen]];
NL_CU_NT;NT;;"NL_RPF_NT;NL_GPV_NT";;CU;"ChristianUnion; Reformed Political Party; ChristenUnie; Staatkundig Gereformeerde Partij";1206;;rgb(0,160,226);chr;;;22jan2000;31dec2018[[rcen]];
NL_CPN_NT;NT;;;;CPN;"Communist Party of the Netherlands;Communistische Partij van Nederland";1194;;rgb(198,15,10);;;;nov1918;23feb1990;
NL_BRUG_NT;NT;;;;BRUG;Brug-groep;;;rgb(198,15,10);;;;1959;11jun1959;
NL_SWP_NT;NT;;;;SWP;Socialistische Werkerspartij;;;rgb(198,15,10);;;;12jun1959;;
