pers_id;polca_id;id_nl_pdc_num;id_pdc_code;id_de_manow;id_de_parliament;id_ch_parliament;id_ie_parliament;id_uk_scotparl;wikidata_id;last_name;first_name;other_name;gender;birth_date;death_date;birth_place_raw;citizenship_canton;hometown_raw;title_raw;military_raw;initials;twitter_screen_name;twitter_id;;;;PolCa-PartyWhenEnteredParliament;PolCa-nonpoliticalprepar;PolCa-politicalprepar;ohmura-career-type;ohmura-mandate
CH_Abaecherli_Charlotte_1960;;;;;;;;;;Abaecherli-Larenas;Charlotte;;f;1960;;;;;;;;;;;;;;;;;
CH_Abaecherli_Claude_1957;;;;;;;;;;Abaecherli;Claude;;m;1957;;;;;;;;;;;;;;;;;
CH_Abaecherli_Hans_1928;;;;;;;;;;Abaecherli;Hans-Rudolf;;m;1928;;;;;;;;;;;;;;;;;
CH_Abaecherli_Herbert_1937;;;;;;;;;;Abaecherli;Herbert-J;;m;1937;;;;;;;;;;;;;;;;;
CH_Abate_Fabio_1966;;;;;;801;;;;Abate;Fabio;NA;m;04jan1966;NA;Locarno (TI);TI;Cabbio (TI);lic. iur.;Korporal;;;;;;;;;;;
CH_Abbet_Raphael_1940;;;;;;;;;;Abbet;Raphael;;m;1940;;;;;;;;;;;;;;;;;
CH_Abbt_Alexandra_1971;;;;NA;;;;;;Abbt;Alexandra;;;1971;;;;;;;;;;;;;;;;;
CH_Abbuehl_Eduard_1923;;;;;;;;;;Abbuehl;Eduard;;m;1923;;;;;;;;;;;;;;;;;
CH_Abbuehl_Niklaus_1948;;;;;;;;;;Abbuehl;Niklaus;;m;1948;;;;;;;;;;;;;;;;;
CH_Abdel_Amr_1977;;;;;;;;;;Abdel-Aziz;Amr;;m;1977;;;;;;;;;;;;;;;;;
CH_Abdel_Teymour_1980;;;;;;;;;;Abdel-Aziz;Teymour;;m;1980;;;;;;;;;;;;;;;;;
CH_Abderhalden_Georg_1899;;;;;;;;;;Abderhalden;Georg;NA;NA;1899;;;;;;;;;;;;;;;;;
CH_Abdullahi_Hayad_1959;;;;;;;;;;Abdullahi;Hayad;;f;1959;;;;;;;;;;;;;;;;;
CH_Abdurahman_Abdul_1974;;;;;;;;;;Abdurahman;Abdul-M;;m;1974;;;;;;;;;;;;;;;;;
CH_Abdurahman_Mohammed_1974;;;;NA;;;;;;Abdurahman;Mohammed;;;1974;;;;;;;;;;;;;;;;;
CH_Abegg_Alfred_1914;;;;;;1355;;;;Abegg;Alfred;NA;m;18nov1914;13aug1998;Arbon;ZH;Zuerich (ZH);NA;NA;;;;;;;;;;;
CH_Abegg_Judit_1985;;;;;;;;;;Abegg;Judit;;f;1985;;;;;;;;;;;;;;;;;
CH_Abegg_Susanne_1939;;;;;;;;;;Abegg-Thalmann;Susanne;;f;1939;;;;;;;;;;;;;;;;;
CH_Abegglen_Hans_1917;;;;;;;;;;Abegglen;Hans;;;1917;;;;;;;;;;;;;;;;;
CH_Abegglen_Sandra_1978;;;;;;;;;;Abegglen;Sandra;;f;1978;;;;;;;;;;;;;;;;;
CH_Abegglen_Ursula_1951;;;;;;;;;;Abegglen;Ursula;;f;1951;;;;;;;;;;;;;;;;;
CH_Abele_Martin_1963;;;;;;;;;;Abele;Martin;;m;1963;;;;;;;;;;;;;;;;;
CH_Abgottspon_Beat_1954;;;;;;;;;;Abgottspon;Beat;;m;1954;;;;;;;;;;;;;;;;;
CH_Abi_Lena_1985;;;;;;;;;;Abi-Chaker;Lena;;f;1985;;;;;;;;;;;;;;;;;
CH_Abplanalp_Fritz_1910;;;;;;;;;;Abplanalp;Fritz;NA;NA;1910;;;;;;;;;;;;;;;;;
CH_Abplanalp_Henri_1920;;;;;;;;;;Abplanalp;Henri;;m;1920;;;;;;;;;;;;;;;;;
CH_Abplanalp_Marc_1992;;;;;;;;;;Abplanalp;Marc;;m;1992;;;;;;;;;;;;;;;;;
CH_Abplanalp_Peter_1936;;;;;;;;;;Abplanalp;Peter;;m;1936;;;;;;;;;;;;;;;;;
CH_Abravanel_Philippe_1930;;;;;;;;;;Abravanel;Philippe;;m;1930;;;;;;;;;;;;;;;;;
CH_Abt_Alphons_1916;;;;;;;;;;Abt-Maeder;Alphons;;m;1916;;;;;;;;;;;;;;;;;
CH_Abt_Hans_1943;;;;;;;;;;Abt;Hans;;m;1943;;;;;;;;;;;;;;;;;
CH_Abt_Herwig_1919;;;;;;;;;;Abt;Herwig;;m;1919;;;;;;;;;;;;;;;;;
CH_Abt_Oskar_1928;;;;;;;;;;Abt;Oskar;;m;1928;;;;;;;;;;;;;;;;;
CH_Abt_Roman_1954;;;;;;;;;;Abt;Roman;;m;1954;;;;;;;;;;;;;;;;;
CH_Acar_Nurettin_1969;;;;;;;;;;Acar;Nurettin;;m;1969;;;;;;;;;;;;;;;;;
CH_Accola_Paul_1967;;;;;;;;;;Accola;Paul;;m;1967;;;;;;;;;;;;;;;;;
CH_Accola_Thomas_1971;;;;;;;;;;Accola;Thomas;;m;1971;;;;;;;;;;;;;;;;;
CH_Achermann_Benjamin_1988;;;;;;;;;;Achermann;Benjamin;;m;1988;;;;;;;;;;;;;;;;;
CH_Achermann_Bernhard_1959;;;;;;;;;;Achermann;Bernhard;;m;1959;;;;;;;;;;;;;;;;;
CH_Achermann_Christian_1945;;;;;;;;;;Achermann;Christian;;m;1945;;;;;;;;;;;;;;;;;
CH_Achermann_Hans_1936;;;;;;;;;;Achermann;Hans;;m;1936;;;;;;;;;;;;;;;;;
CH_Achermann_Marius_1960;;;;;;;;;;Achermann;Marius;;m;1960;;;;;;;;;;;;;;;;;
CH_Achermann_Michele_1986;;;;;;;;;;Achermann;Michele;;f;1986;;;;;;;;;;;;;;;;;
CH_Achermann_Sandra_1993;;;;;;;;;;Achermann;Sandra;;f;1993;;;;;;;;;;;;;;;;;
CH_Acker_Alfred_1899;;;;;;;;;;Acker;Alfred;NA;NA;1899;;;;;;;;;;;;;;;;;
CH_Ackeret_Manuel_1983;;;;;;;;;;Ackeret;Manuel;;m;1983;;;;;;;;;;;;;;;;;
CH_Ackeret_Rudolf_1948;;;;;;;;;;Ackeret;Rudolf;;m;1948;;;;;;;;;;;;;;;;;
CH_Ackerknecht_Wolfgang_1956;;;;;;;;;;Ackerknecht;Wolfgang;;m;1956;;;;;;;;;;;;;;;;;
CH_Ackermann_Adrian_1964;;;;NA;;;;;;Ackermann;Adrian;;;1964;;;;;;;;;;;;;;;;;
CH_Ackermann_Albert_1905;;;;;;;;;;Ackermann;Albert;NA;NA;1905;;;;;;;;;;;;;;;;;
CH_Ackermann_Alex_1977;;;;;;;;;;Ackermann;Alex;;m;1977;;;;;;;;;;;;;;;;;
CH_Ackermann_Alfred_1907;;;;;;1359;;;;Ackermann;Alfred;NA;m;02apr1907;12dec1997;Entlebuch;LU;Entlebuch (LU);NA;NA;;;;;;;;;;;
CH_Ackermann_Andre_1959;;;;;;;;;;Ackermann;Andre;;m;1959;;;;;;;;;;;;;;;;;
CH_Ackermann_Barbara_1982;;;;;;;;;;Ackermann;Barbara;;f;1982;;;;;;;;;;;;;;;;;
CH_Ackermann_Beatrice_1957;;;;;;;;;;Ackermann-Clerc;Beatrice;;f;1957;;;;;;;;;;;;;;;;;
CH_Ackermann_Bernard_1907;;;;;;;;;;Ackermann;Bernard;NA;NA;1907;;;;;;;;;;;;;;;;;
CH_Ackermann_Christophe_1979;;;;;;;;;;Ackermann;Christophe;;m;1979;;;;;;;;;;;;;;;;;
CH_Ackermann_Elena_1993;;;;;;;;;;Ackermann;Elena;;f;1993;;;;;;;;;;;;;;;;;
CH_Ackermann_Ernst_1910;;;;;;;;;;Ackermann;Ernst;;;1910;;;;;;;;;;;;;;;;;
CH_Ackermann_Hans_1920;;;;;;;;;;Ackermann;Hans;;;1920;;;;;;;;;;;;;;;;;
CH_Ackermann_Hubert_1967;;;;;;;;;;Ackermann;Hubert;;m;1967;;;;;;;;;;;;;;;;;
CH_Ackermann_Janine_1967;;;;;;;;;;Ackermann;Janine;;f;1967;;;;;;;;;;;;;;;;;
CH_Ackermann_Jean_1948;;;;;;;;;;Ackermann;Jean-Rene;;m;1948;;;;;;;;;;;;;;;;;
CH_Ackermann_Josef_1916;;;;;;;;;;Ackermann;Josef;;m;1916;;;;;;;;;;;;;;;;;
CH_Ackermann_Joseph_1901;;;;;;1360;;;;Ackermann;Joseph;NA;m;16feb1901;04may1987;Bulle;"FR; FR";"Duedingen (FR); Plasselb (FR)";NA;NA;;;;;;;;;;;
CH_Ackermann_Lea_1987;;;;;;;;;;Ackermann;Lea;;f;1987;;;;;;;;;;;;;;;;;
CH_Ackermann_Lisa_1938;;;;;;;;;;Ackermann-Hediger;Lisa;;f;1938;;;;;;;;;;;;;;;;;
CH_Ackermann_Margit_1951;;;;;;;;;;Ackermann;Margit;;f;1951;;;;;;;;;;;;;;;;;
CH_Ackermann_Marianne_1961;;;;;;;;;;Ackermann;Marianne;;f;1961;;;;;;;;;;;;;;;;;
CH_Ackermann_Otto_1945;;;;;;;;;;Ackermann;Otto;;m;1945;;;;;;;;;;;;;;;;;
CH_Ackermann_Rainer_1958;;;;;;;;;;Ackermann;Rainer;;m;1958;;;;;;;;;;;;;;;;;
CH_Ackermann_Rene_1953;;;;;;;;;;Ackermann;Rene;;m;1953;;;;;;;;;;;;;;;;;
CH_Ackermann_Roland_1983;;;;;;;;;;Ackermann;Roland;;m;1983;;;;;;;;;;;;;;;;;
CH_Ackermann_Rolf_1944;;;;;;;;;;Ackermann;Rolf;;m;1944;;;;;;;;;;;;;;;;;
CH_Ackermann_Ruth_1960;;;;;;;;;;Ackermann;Ruth;;f;1960;;;;;;;;;;;;;;;;;
CH_Ackermann_Sophie_1996;;;;;;;;;;Ackermann;Sophie;;f;1996;;;;;;;;;;;;;;;;;
CH_Ackermann_Sybille_1950;;;;;;;;;;Ackermann;Sybille;;f;1950;;;;;;;;;;;;;;;;;
CH_Ackermann_Thomas_1962;;;;;;;;;;Ackermann;Thomas;;m;1962;;;;;;;;;;;;;;;;;
CH_Ackermann_Traugott_1900;;;;;;;;;;Ackermann;Traugott;;;1900;;;;;;;;;;;;;;;;;
CH_Ackermann_Walter_1890;;;;;;1361;;;;Ackermann;Walter;NA;m;15nov1890;31jan1969;Herisau;AR;Herisau (AR);NA;NA;;;;;;;;;;;
CH_Ackermann_Walter_1908;;;;;;;;;;Ackermann;Walter;;;1908;;;;;;;;;;;;;;;;;
CH_Ackermann_Walter_1949;;;;;;;;;;Ackermann;Walter;;m;1949;;;;;;;;;;;;;;;;;
CH_Acklin_Claudia_1958;;;;;;;;;;Acklin;Claudia;;f;1958;;;;;;;;;;;;;;;;;
CH_Adam_Felix_1958;;;;;;;;;;Adam;Felix;;m;1958;;;;;;;;;;;;;;;;;
CH_Adam_Hanspeter_1945;;;;;;;;;;Adam;Hanspeter;;m;1945;;;;;;;;;;;;;;;;;
CH_Adam_Peter_9999;;;;;;;;;;Adam;Peter;NA;m;NA;;;;;;;;;;;;;;;;;
CH_Adam_Rolf_1982;;;;;;;;;;Adam;Rolf;;m;1982;;;;;;;;;;;;;;;;;
CH_Adam_Segolene_1974;;;;;;;;;;Adam;Segolene;;f;1974;;;;;;;;;;;;;;;;;
CH_Adam_Tobias_1985;;;;;;;;;;Adam;Tobias;;m;1985;;;;;;;;;;;;;;;;;
CH_Adank_Christian_1950;;;;;;;;;;Adank;Christian;;m;1950;;;;;;;;;;;;;;;;;
CH_Adank_Felix_1951;;;;;;;;;;Adank;Felix;;m;1951;;;;;;;;;;;;;;;;;
CH_Adank_Jakob_1924;;;;;;;;;;Adank;Jakob;;m;1924;;;;;;;;;;;;;;;;;
CH_Adank_Sophie_1923;;;;;;;;;;Adank-Reymond;Sophie;;f;1923;;;;;;;;;;;;;;;;;
CH_Adatte_Bernard_1936;;;;;;;;;;Adatte;Bernard;;m;1936;;;;;;;;;;;;;;;;;
CH_Addor_Jean_1964;;;;;;4154;;;;Addor;Jean-Luc;NA;m;22apr1964;NA;Lausanne (VD);"VD; VS";"Ste-Croix (VD); Saviese (VS)";lic. en droit;Hauptmann;;udcvr64;256863130;;;;;;;;
CH_Addor_Jules_1894;;;;;;1364;;;;Addor;Jules-Henri;NA;m;21sep1894;17dec1953;NA;VD;Vuiteboeuf (VD);NA;NA;;;;;;;;;;;
CH_Ade_Annemarie_1941;;;;;;;;;;Ade;Annemarie;;f;1941;;;;;;;;;;;;;;;;;
CH_Aders_Till_1987;;;;;;;;;;Aders;Till;;m;1987;;;;;;;;;;;;;;;;;
CH_Adir_Asya_1989;;;;;;;;;;Adir;Asya;;f;1989;;;;;;;;;;;;;;;;;
CH_Adir_Cumali_1952;;;;;;;;;;Adir;Cumali;;m;1952;;;;;;;;;;;;;;;;;
CH_Adobati_Abbondio_1940;;;;;;;;;;Adobati;Abbondio;;m;1940;;;;;;;;;;;;;;;;;
CH_Aeberhard_Alice_1945;;;;;;;;;;Aeberhard;Alice;;f;1945;;;;;;;;;;;;;;;;;
CH_Aeberhard_Elsa_1928;;;;;;;;;;Aeberhard;Elsa;;f;1928;;;;;;;;;;;;;;;;;
